frames,car_ID,speed,direction,rate_of_speed,rate_of_direction,class
47,1,338.3985295,58.21010918,1.197659298,0.726027397,No
47,2,12.70155052,48.19331059,0,0.2,No
48,0,150.3648035,-104.1119362,-0.184487133,-0.393939394,No
48,1,338.3985295,58.21010918,1.157446809,0.694805195,No
48,2,12.70155052,73.35440274,0,0.694390716,No
49,0,105.8870178,-153.1160982,-0.42506591,-0.108140704,No
49,1,427.2630324,64.67501515,1.627991794,0.830374753,No
49,2,21.44517496,73.35440274,0.580645161,0.62462908,No
50,0,105.8870178,-153.1160982,-0.421505921,-0.107922058,No
50,2,21.44517496,73.35440274,0.5,0.581227437,No
51,0,105.8870178,-153.1160982,-0.41836917,-0.107729827,No
51,2,21.44517496,20.68149009,0.452830189,-0.563492063,No
52,0,105.8870178,-96.03869939,-0.415584416,-0.438633796,No
52,2,21.44517496,20.68149009,0.421875,-0.561181435,No
53,0,105.8870178,-96.03869939,-0.413095555,-0.437294298,No
53,2,21.44517496,20.68149009,0.4,-0.559471366,No
54,0,124.0235865,-96.03869939,-0.302355955,-0.436098256,No
54,2,35.59529356,69.60386415,1.150170648,0.501865672,No
55,0,124.0235865,-131.6977678,-0.298302344,-0.2282011,No
55,2,35.59529356,69.60386415,1.03601108,0.488673139,No
56,0,124.0235865,-131.6977678,-0.294659383,-0.226130921,No
56,2,35.59529356,69.60386415,0.958041958,0.478571429,No
57,0,124.0235865,-131.6977678,-0.291367679,-0.224263589,No
57,2,35.59529356,59.34627099,0.901408451,0.251143451,No
58,0,124.0235865,-140.751271,-0.288378766,-0.168590113,No
58,2,35.59529356,59.34627099,0.85840708,0.24095941,No
59,0,96.35381971,-140.751271,-0.445281693,-0.166437666,No
59,2,39.51876766,59.34627099,0.973214286,0.232835821,No
60,0,96.35381971,-140.751271,-0.441839663,-0.164480588,No
60,2,39.51876766,73.63710739,0.902439024,0.506041851,No
61,0,96.35381971,-177.6408294,-0.438696567,0.058378649,No
61,2,39.51876766,73.63710739,0.848758465,0.490586051,No
62,0,96.35381971,-177.6408294,-0.435815082,0.060238806,No
62,2,39.51876766,73.63710739,0.806646526,0.477946493,No
